;Pmax [MW];Pmin [MW];Emax [MWh];Emin [MWh]
Oldenburg (Oldenburg), Kreisfreie Stadt;5,689483942131962;-6,3697190727140764;34,27703808592759;-34,23916369387777
Osnabrück, Kreisfreie Stadt;4,965748078541625;-5,941697675202223;32,201141534550196;-32,169961846821
Wilhelmshaven, Kreisfreie Stadt;1,7599415653798547;-2,422540716737854;12,949251033063724;-12,939060007841988
Ammerland;2,6078362801713655;-3,6797771635366154;19,31577278772663;-19,301077576048538
Aurich;5,028956599328669;-9,442106153776297;53,9032145614252;-53,883749510512985
Cloppenburg;2,5452342052082697;-3,266264768343269;17,470656203515308;-17,454547635441592
Emsland;6,153125790452051;-8,164261617383803;43,58401618343031;-43,5471298262575
Friesland (DE);2,137533044853874;-3,5680042611023093;19,796448502808705;-19,7871920847553
Grafschaft Bentheim;2,2883717203886818;-3,091618716724763;16,438574548292156;-16,42491653758167
Leer;3,2588993397023374;-4,771591256549519;25,864134655115585;-25,84634491563102
Oldenburg, Landkreis;1,779124786044659;-2,505915799432127;13,285965955685372;-13,275184336975263
Osnabrück, Landkreis;5,658993797859792;-7,570729240218256;39,26941580996206;-39,23570272166335
Vechta;2,5462048801847614;-3,171370245274955;16,69591890846394;-16,680374877480116
Wesermarsch;1,2749882547124993;-1,9856299948306784;10,820613795304375;-10,813889492608466
Wittmund;1,8007570728678446;-3,619508391219273;21,156172714900652;-21,15048032760563
Bremen, Kreisfreie Stadt;15,420534479540773;-18,408797507472443;103,77695981967636;-103,68087983242721
Bremerhaven, Kreisfreie Stadt;2,704874875095698;-3,5187488795422626;18,929311864255123;-18,913646615681557
Düsseldorf, Kreisfreie Stadt;34,268105960895376;-38,02422830750847;225,29706600537253;-225,07986597520235
Duisburg, Kreisfreie Stadt;7,633636122185031;-8,706125520034847;46,66197564534713;-46,614158808108186
Essen, Kreisfreie Stadt;15,489092630979515;-17,324689058790476;97,56660277008828;-97,46926366431158
Krefeld, Kreisfreie Stadt;4,4338158537101116;-5,055207609883474;26,54551280195939;-26,517243819530762
Mönchengladbach, Kreisfreie Stadt;5,274376631525695;-6,02351789660363;32,07761661076515;-32,04388996033727
Mülheim an der Ruhr,Kreisfreie Stadt;3,615399084973827;-4,012271126898964;21,414943826038954;-21,390152714396734
Oberhausen, Kreisfreie Stadt;3,7788366990507662;-4,657679360749562;23,93699035025131;-23,91226741675391
Remscheid, Kreisfreie Stadt;1,6510690755399475;-1,9123608316715928;10,018958464138231;-10,008768660268082
Solingen, Kreisfreie Stadt;2,485748575274947;-2,9449595179582446;14,938991364367785;-14,922986328359285
Wuppertal, Kreisfreie Stadt;6,482636656476632;-7,0462344438333755;38,51877947602289;-38,47492275555145
Kleve;4,858562379106885;-6,057035663157032;31,806162374428368;-31,775922801488395
Mettmann;8,582976474686273;-10,762899824424963;57,969990564572406;-57,91568152603974
Rhein-Kreis Neuss;7,510181296690839;-9,245740226704712;48,534536614430465;-48,48602834684356
Viersen;4,277541964072784;-5,046896870808192;25,836355644778024;-25,80878264965875
Wesel;8,125829862923386;-10,376168689725699;54,42798654474675;-54,37747405843924
Bonn, Kreisfreie Stadt;12,05337044382916;-14,674465099929467;84,83085815835341;-84,76327035673789
Köln, Kreisfreie Stadt;46,5457413999679;-51,81066381997365;305,4184077005574;-305,12156159906885
Leverkusen, Kreisfreie Stadt;3,0635140683314517;-3,479226486812193;18,59555768261013;-18,576591407915007
Städteregion Aachen;11,939992488252605;-14,29491976264804;76,79291761753288;-76,71711155366665
Düren;3,513705505330506;-4,304991707180494;22,414913803089462;-22,39398898466275
Rhein-Erft-Kreis;6,649634868355778;-8,369080026091158;43,021278484735596;-42,97668147564532
Euskirchen;3,4779471516025833;-4,538525554685379;23,38374490916359;-23,362224317958685
Heinsberg;3,785835097638895;-4,5445865977424384;23,387324903185924;-23,362120260368652
Oberbergischer Kreis;5,082782848602765;-5,894652687278316;32,88603941871007;-32,85367218215099
Rheinisch-Bergischer Kreis;4,304908931477795;-5,676361214844812;30,660132211777853;-30,634218327496505
Rhein-Sieg-Kreis;8,510314600721737;-11,423691032578825;61,49917980206871;-61,447034501715706
Bottrop, Kreisfreie Stadt;1,7738787146922153;-2,009072002487137;10,042918964612797;-10,031301593906827
Gelsenkirchen, Kreisfreie Stadt;4,39273307899759;-5,1213389968365695;27,39106722937755;-27,363741504636916
Münster, Kreisfreie Stadt;13,331637204968471;-14,490621093711946;83,53247098659656;-83,45104925717347
Borken;6,696509677229178;-8,805924437546148;46,3952258945773;-46,353610602151406
Coesfeld;3,6060734936828056;-4,609406228972284;24,32894996309581;-24,306096361484162
Recklinghausen;9,26195941338635;-11,418954743152128;58,94713202822603;-58,89047572904788
Steinfurt;7,216152815739705;-8,832320351153532;46,02007162685085;-45,97355451861198
Warendorf;3,694524818369343;-4,316269906481743;22,35354679497585;-22,329031329769315
Bielefeld, Kreisfreie Stadt;7,5362092372598175;-8,63017307439156;46,602667342074696;-46,55384006043157
Gütersloh;6,932390126688306;-9,090225421343122;47,73838055558006;-47,693449371435925
Herford;3,9360437752344337;-4,781362835482324;24,365847532561617;-24,339449927923134
Höxter;2,54796885759801;-3,793674108108836;20,641189890212694;-20,628354313621617
Lippe;5,802479653195816;-7,731131041963675;42,54925232916561;-42,51559483056803
Minden-Lübbecke;6,19009965377011;-7,595471566664723;40,34667869423918;-40,31048232133255
Paderborn;5,60621563436926;-7,386605560258602;39,65654917104744;-39,62264376735923
Bochum, Kreisfreie Stadt;7,532974586735003;-8,999555170551552;48,40258402274074;-48,35477111130534
Dortmund, Kreisfreie Stadt;15,238134427075146;-17,143788309507023;95,86020906868364;-95,76042968715068
Hagen, Kreisfreie Stadt;3,6469546590610626;-4,341108561779833;22,543303364791228;-22,519716025608545
Hamm, Kreisfreie Stadt;3,1007485364340495;-3,4425316638049734;18,165999135139934;-18,146709182806738
Herne, Kreisfreie Stadt;2,7670323870284466;-2,8895874020462196;15,124455375754405;-15,106753374916686
Ennepe-Ruhr-Kreis;4,920093044964686;-6,124589551346594;32,17211125542277;-32,14244605388881
Hochsauerlandkreis;6,217931606363362;-10,834942697098882;61,96172406950476;-61,93703313038144
Märkischer Kreis;5,774287257966693;-7,2134443802031765;38,30636257235725;-38,27122547028459
Olpe;2,21909069160387;-3,2603750278053942;17,699014607841985;-17,686940271438317
Siegen-Wittgenstein;4,88773039452559;-6,138283938541431;32,70812248833919;-32,678388121797006
Soest;5,364031665316264;-7,016007759041243;37,3615699504678;-37,33062560139377
Unna;6,8460363526433525;-8,334137302887834;42,26681333075099;-42,221418917633855
Darmstadt, Kreisfreie Stadt;5,353508727106793;-6,136040516641327;35,5044634380734;-35,46901102380873
Frankfurt am Main, Kreisfreie Stadt;47,22027344560515;-53,159761148442826;321,80758711988716;-321,50964841024756
Offenbach am Main, Kreisfreie Stadt;3,119965470912602;-3,5135433683614106;19,938136830519394;-19,91909827764602
Wiesbaden, Kreisfreie Stadt;12,334432669628733;-12,752614280947727;75,41317450478441;-75,3314893157549
Bergstraße;4,006752554074911;-5,216634381758373;27,356457065092854;-27,33118455833503
Darmstadt-Dieburg;4,161167954132696;-5,495375268617848;28,49311277635193;-28,465440834550822
Groß-Gerau;4,149061867788294;-5,388011974831814;29,861362919238893;-29,837273813756735
Hochtaunuskreis;7,933847359428189;-8,954257551635516;52,6872732682792;-52,637482650139034
Main-Kinzig-Kreis;6,782487000916171;-8,93656672374745;47,01317931950198;-46,9717813233553
Main-Taunus-Kreis;7,560185115536267;-8,562509528020163;48,274752894465;-48,2221636291486
Odenwaldkreis;1,1514848810896507;-1,5345165827047675;8,140578652698842;-8,134036530239927
Offenbach, Landkreis;6,250440920211609;-7,808253372502362;42,70926391249854;-42,668519137792046
Rheingau-Taunus-Kreis;2,8765939962960902;-4,37891960106595;24,812407967620736;-24,798047265076647
Wetteraukreis;4,917009599207568;-6,028028943064599;31,72660586846662;-31,69547943068871
Gießen, Landkreis;5,218245557105157;-6,13852239515849;33,448514387788855;-33,41561146715493
Lahn-Dill-Kreis;4,205442731610738;-5,028618516190143;26,504903729935126;-26,479012863525988
Limburg-Weilburg;2,9034938386201397;-3,630558786704116;19,184435600117673;-19,166925176552056
Marburg-Biedenkopf;4,074976100035696;-5,298064085165377;28,958717354956995;-28,934955031454994
Vogelsbergkreis;1,5856107533722863;-2,2295744193710196;12,042473721823557;-12,033922294213832
Kassel, Kreisfreie Stadt;6,770161005835801;-8,098644162866806;44,93783061685863;-44,896304234613474
Fulda;5,593728478134294;-8,131526661787879;45,29949714894269;-45,27007450030061
Hersfeld-Rotenburg;3,54467225073728;-5,426320258581968;28,585035732593308;-28,565520698753907
Kassel, Landkreis;2,7894677702790016;-3,7608587427873883;19,857599019855506;-19,84073830839868
Schwalm-Eder-Kreis;2,523093877426415;-3,4143172290820982;18,31709778808147;-18,30223703882174
Waldeck-Frankenberg;3,9176590739749506;-6,757089722350487;38,410623932290484;-38,39759751213923
Werra-Meißner-Kreis;1,6948506098637872;-2,4002141003283906;12,923969378194268;-12,915549876387278
Koblenz, Kreisfreie Stadt;4,421289695031702;-5,190495590981543;28,610266794934525;-28,58327537715288
Ahrweiler;2,6263597386368596;-4,859870725023313;27,954709593226283;-27,94516106676681
Altenkirchen (Westerwald);1,7491119400884005;-2,2929489194639707;12,071757035700335;-12,060986945664764
Bad Kreuznach;2,8791026281820273;-4,031809377140761;22,06023986895464;-22,04534026290078
Birkenfeld;1,3120878908463505;-1,8230776511690068;9,804103486154983;-9,797454742240175
Cochem-Zell;1,577661687309433;-3,1332019480082782;18,00184328304999;-17,996827566767678
Mayen-Koblenz;3,9657721827102126;-5,500865308181399;28,918422614891863;-28,894953277279786
Neuwied;2,7165994632039063;-3,4064307007909624;17,966622174928013;-17,95143925467848
Rhein-Hunsrück-Kreis;2,2112531165279328;-3,7806213474260923;21,381664466703313;-21,371834439885383
Rhein-Lahn-Kreis;1,7199959902157533;-2,5160899621637864;13,625172159919114;-13,61617306550097
Westerwaldkreis;3,239505830494971;-4,778148432027187;26,206650996501274;-26,188417171314878
Trier, Kreisfreie Stadt;3,7511912135734207;-5,428944977386359;29,728060406623786;-29,708654181598803
Bernkastel-Wittlich;2,5576102748037344;-4,895865619672574;28,305709313206478;-28,29733435415837
Eifelkreis Bitburg-Prüm;1,6705977435663735;-2,6169718287422805;14,493492295041136;-14,484888499588715
Vulkaneifel;1,2648599630526887;-2,4167593245226064;13,893069313015442;-13,88891096023626
Trier-Saarburg;1,8331619273765487;-3,078377357900544;16,969722352924343;-16,96071413158278
Frankenthal (Pfalz), Kreisfreie Stadt;0,7925862317662341;-0,9853000041340337;5,245493866344836;-5,2404766065427815
Kaiserslautern, Kreisfreie Stadt;3,034821879055787;-3,628235283717698;19,384657379924104;-19,36435132779293
Landau in der Pfalz, Kreisfreie Stadt;1,505869489773279;-1,7793417136412812;9,622013130412125;-9,612240195332262
Ludwigshafen am Rhein, Kreisfreie Stadt;3,5821716622436925;-3,896877878662236;20,637686307663525;-20,616034500713027
Mainz, Kreisfreie Stadt;6,715157088867021;-8,277536294695986;47,4049264205148;-47,36791658932025
Neustadt an der Weinstraße, Kreisfreie Stadt;1,1448999199808088;-1,441904747362567;7,666514616205136;-7,659284447666093
Pirmasens, Kreisfreie Stadt;0,9806963243946099;-1,1108273681105192;5,510922793055386;-5,50438392769046
Speyer, Kreisfreie Stadt;1,7057540458191445;-2,1952479387872055;12,000680209239647;-11,99124827145222
Worms, Kreisfreie Stadt;1,5657246923782486;-1,9255814451720583;10,055005941971476;-10,045458455238897
Zweibrücken, Kreisfreie Stadt;0,8933888050331767;-1,22013646785493;6,3523889772246624;-6,34693519078947
Alzey-Worms;1,5730804782414025;-1,8790049333439554;9,914679464522099;-9,904678096263082
Bad Dürkheim;2,0758744541470957;-3,2540818134463843;18,109827115989763;-18,09931697442508
Donnersbergkreis;0,8133668649750173;-1,1607783804501937;6,369452770815498;-6,364692018395514
Germersheim;1,357317922773009;-1,6465021047432247;8,550266964564328;-8,540738564699783
Kaiserslautern, Landkreis;1,2387905084286819;-1,7863645301824427;9,638723658453934;-9,63174298924591
Kusel;0,696198019793836;-0,9063911340060661;4,755031824966501;-4,750723933288278
Südliche Weinstraße;2,196849728824418;-3,6595430556501922;19,674909955149126;-19,66336930603652
Rhein-Pfalz-Kreis;1,2255749196860282;-1,6426153793609883;8,686813800110315;-8,678582685006972
Mainz-Bingen;2,5737603478537765;-3,529935153268563;19,065454842822554;-19,050044648681144
Südwestpfalz;1,0409231674140456;-1,7556068003941228;9,635714055615924;-9,630451250948434
Stuttgart, Stadtkreis;31,673988344712836;-33,3629574439367;199,5058134352209;-199,29881756367823
Böblingen;9,452626988727763;-10,945099074753603;61,55883581217522;-61,49750778385682
Esslingen;9,072867700186643;-11,264728560473324;61,636410345954395;-61,580600471157375
Göppingen;4,188306202550332;-4,9498144054203355;26,543235327877852;-26,516784542223455
Ludwigsburg;9,398509653347574;-11,760618532817558;63,50547958270739;-63,446900289223386
Rems-Murr-Kreis;6,9226242505760265;-8,54585333772305;45,610122892426176;-45,56523214401937
Heilbronn, Stadtkreis;4,271093331249167;-4,860509306581699;26,093275028628604;-26,064738418370933
Heilbronn, Landkreis;6,020068072322378;-7,184095875636401;39,49485483674473;-39,45743492782743
Hohenlohekreis;1,8607296549271146;-2,9285845972282467;16,43601651619616;-16,42660471989772
Schwäbisch Hall;3,5972782976683675;-5,0855792707338665;28,536812904292862;-28,51697516884579
Main-Tauber-Kreis;2,547219114644564;-3,4799410257577432;18,538382696574224;-18,524639199440152
Heidenheim;2,0912265892701303;-2,6278563795904626;13,899952920504829;-13,886636128284948
Ostalbkreis;5,054644451438807;-6,416990604189066;34,59418396966082;-34,563663584982905
Baden-Baden, Stadtkreis;2,3753917782467235;-4,1433791543479375;23,997381375826286;-23,988674649477893
Karlsruhe, Stadtkreis;12,551285675107748;-13,443088236621659;76,4930147608248;-76,41072669860456
Karlsruhe, Landkreis;6,1771033758082226;-8,063420165250301;42,46263344713454;-42,423949540283914
Rastatt;3,269825967750718;-4,292680914549175;22,508352010793885;-22,48744874654926
Heidelberg, Stadtkreis;6,461152605667967;-8,255938235897878;47,421674589985486;-47,39123058773209
Mannheim, Stadtkreis;10,989568141381705;-12,158285097731591;67,83339242529894;-67,7606790493916
Neckar-Odenwald-Kreis;1,8285585838828646;-2,433699498599685;12,952385733965803;-12,941365493556278
Rhein-Neckar-Kreis;9,113366817112132;-12,015930602765614;65,4732119131697;-65,41737593860964
Pforzheim, Stadtkreis;4,078194741427103;-5,135376857215968;25,689441693844206;-25,66154479199812
Calw;2,868487181737284;-4,920183166169252;27,855834669875676;-27,845102858461203
Enzkreis;1,9041373385928966;-2,400742196945588;12,929686396431238;-12,917569866178722
Freudenstadt;3,3136615274295886;-7,016010569617705;41,22151644950835;-41,213084961030056
Freiburg im Breisgau, Stadtkreis;8,108029387027498;-10,719457674514167;59,52519854692083;-59,482405471076454
Breisgau-Hochschwarzwald;6,112768587537264;-11,524793902810158;66,40606286838019;-66,3855841015068
Emmendingen;2,3926787552043995;-3,1822247030124036;17,17701408819501;-17,1635187897285
Ortenaukreis;8,863979949654228;-12,964682388870028;70,07097395905238;-70,02353953284101
Rottweil;2,125231884121936;-2,5460439563138055;13,522083796460988;-13,508901601077119
Schwarzwald-Baar-Kreis;3,872032372136031;-5,384787560103508;29,375540583797918;-29,355132992824185
Tuttlingen;1,6720413296394925;-2,0570450202019424;10,874972293036855;-10,864238174833707
Konstanz;6,5149389344480095;-9,63870397481415;52,617769069535484;-52,5828163246694
Lörrach;4,864888479977902;-6,882014098471527;36,04368081563014;-36,01360498985986
Waldshut;3,6802032854020643;-5,660429538819193;30,244721036802122;-30,2248349257981
Reutlingen;6,0221176238617335;-7,6492667823513685;41,94915063177373;-41,912086686826896
Tübingen, Landkreis;4,263878059910391;-5,040257170755573;27,25355039089802;-27,231299146317582
Zollernalbkreis;3,0144109737578195;-3,9331375939575968;20,22205743852446;-20,202155517129547
Ulm, Stadtkreis;4,483807704519446;-5,570616772007532;31,23028934999414;-31,204667722592298
Alb-Donau-Kreis;2,170666547941678;-3,0035083072956152;16,025481351118767;-16,0127903534661
Biberach;2,804183834973599;-3,482406495218837;18,4242882272129;-18,407077862808933
Bodenseekreis;5,06823468490957;-9,053734569292768;51,801951962494876;-51,78147113869317
Ravensburg;5,594083541445948;-7,217860701568141;38,94853224871639;-38,917118762578234
Sigmaringen;1,9497508308512;-2,579302400137308;13,909739767790207;-13,898514285188897
Ingolstadt, Kreisfreie Stadt;4,4285380315948375;-5,470596846169124;29,592816449393343;-29,5655125774505
München, Kreisfreie Stadt;74,65007249605115;-87,99825288997701;520,0156394078726;-519,56139552875
Rosenheim, Kreisfreie Stadt;2,2329508513752363;-2,6581008150270535;14,158949298953312;-14,144826694169057
Altötting;2,0150396083133315;-2,912306442816012;15,691479140757549;-15,680340811692329
Berchtesgadener Land;3,3339719446314673;-6,5623366509241885;37,963772553025045;-37,95378539482447
Bad Tölz-Wolfratshausen;2,3746363210681443;-3,754150724084598;21,09651443488394;-21,085614732156692
Dachau;2,0701166586329;-2,531750541368415;13,270681632869989;-13,257196560029362
Ebersberg;2,2729791361978897;-3,0466792869264636;15,954709736148011;-15,939803638613451
Eichstätt;2,8485879836110115;-4,013213174689239;23,238011578826576;-23,222492108630288
Erding;2,7196273665729236;-4,40095218782528;24,20622172101041;-24,193042795146113
Freising;3,7292259313562837;-5,590976265742636;30,224603213909322;-30,20219135709843
Fürstenfeldbruck;2,6243280597308636;-3,3178410276796506;17,3651418598714;-17,347401589072806
Garmisch-Partenkirchen;4,109393497425466;-8,96252095035167;52,92272394399161;-52,91542002458273
Landsberg am Lech;1,6730629407422666;-2,1876128392075467;11,486349048874214;-11,475529927710756
Miesbach;3,5653059453476508;-7,658571548935971;45,22419173747408;-45,21590613871665
Mühldorf a. Inn;1,5804754065458189;-1,931334884784215;9,902237831764483;-9,891379742780062
München, Landkreis;14,905351636479935;-17,112302567563425;100,59964652604157;-100,50224003491675
Neuburg-Schrobenhausen;1,5465460175172037;-1,9634368876770192;10,279071851790988;-10,269679693990938
Pfaffenhofen a. d. Ilm;1,695048581274246;-2,31667256039804;12,30724842247416;-12,296677266528262
Rosenheim, Landkreis;5,493518101071511;-8,501628017661716;47,77060553259895;-47,747507649973954
Starnberg;2,922369105953462;-4,105960871128398;23,437669713211392;-23,42323850495709
Traunstein;4,525812473146872;-7,952305292017646;44,80532761838318;-44,78616327231193
Weilheim-Schongau;2,4891627176043083;-3,2954311553625213;17,414572778116156;-17,39906411419635
Landshut, Kreisfreie Stadt;2,2402965312826777;-2,606540375375382;13,848413527177945;-13,835075126408835
Passau, Kreisfreie Stadt;2,359462022841626;-3,0982296585539952;16,83814127767841;-16,824365039352795
Straubing, Kreisfreie Stadt;1,6098302939638778;-2,071892577397464;10,86915742817714;-10,859635638503418
Deggendorf;2,3237967620466287;-2,8963509525847924;15,32520374894272;-15,311595163016046
Freyung-Grafenau;1,7662545071856768;-3,2463928687287527;18,48750736809331;-18,48095434647896
Kelheim;1,8940973220155224;-2,944140404264187;16,27535098382595;-16,266169535289084
Landshut, Landkreis;1,974921198004021;-2,3838604646888664;12,642529617558797;-12,62900076639214
Passau, Landkreis;4,600159809837822;-8,958286665728314;51,61969900473823;-51,60468607681546
Regen;2,1751170121877412;-4,604524403802325;27,198364212231578;-27,19296486369543
Rottal-Inn;2,4340985500358565;-3,49368515460642;19,223969009585524;-19,210561954757846
Straubing-Bogen;1,3206367886122994;-2,248705436684758;12,754470887131221;-12,74894116130365
Dingolfing-Landau;1,5422755064201379;-1,7656623321884053;9,320934877281884;-9,310345794209482
Amberg, Kreisfreie Stadt;1,426581426229184;-1,6819075815774425;8,84932665154968;-8,840582798135731
Regensburg, Kreisfreie Stadt;6,056304118405332;-7,28015910834282;39,87638676392498;-39,84230248296072
Weiden i. d. Opf, Kreisfreie Stadt;2,3999651892005005;-2,940279464675161;14,595108559212617;-14,57881859074614
Amberg-Sulzbach;1,3612217210231234;-1,8588280797354535;9,812858024657526;-9,804489293894889
Cham;2,9591789693121413;-5,356630643677512;30,270279143847578;-30,258499907778372
Neumarkt i. d. OPf.;2,3389993768792565;-2,8561763177211397;14,856323212623797;-14,841284176683356
Neustadt a. d. Waldnaab;1,0038191569166732;-1,4915927597800178;8,249587336056795;-8,244272919008957
Regensburg, Landkreis;1,830633328016885;-2,5401855081403806;13,562548377133478;-13,551358208549928
Schwandorf;2,4308747099278487;-3,3399874291448883;17,440533082652063;-17,425458805998343
Tirschenreuth;0,971569995384118;-1,312673614929584;6,981823911214484;-6,976206594548081
Bamberg, Kreisfreie Stadt;2,571158518688497;-3,494507543103196;19,462566190853497;-19,44911423949117
Bayreuth, Kreisfreie Stadt;2,6536342089741662;-3,254937550886221;17,763604466038874;-17,74839437166705
Coburg, Kreisfreie Stadt;4,149220534067272;-3,757238829361587;23,19911452997845;-23,170541926782203
Hof, Kreisfreie Stadt;1,5516461339542726;-1,8802902444772447;10,212927902085847;-10,202952622487505
Bamberg, Landkreis;2,093531015527793;-3,0114267211438164;15,589409170526634;-15,575865879637954
Bayreuth, Landkreis;1,4632007576156891;-2,3377492688280688;12,96351789714558;-12,955808778723926
Coburg, Landkreis;1,1699491967570852;-1,7020627115720754;8,743408076891669;-8,736078189414513
Forchheim;1,6857483936416688;-2,440764207948019;13,30340544393621;-13,294071009555434
Hof, Landkreis;2,032249881435824;-2,7875861076244344;13,991181922053407;-13,97825518677672
Kronach;1,1587151885029587;-1,4495609087029995;7,956111087804574;-7,948995488029707
Kulmbach;1,441215241380708;-2,066530481624923;11,064679297839728;-11,056640556528288
Lichtenfels;1,675737173648756;-2,481372649618742;13,17665409889717;-13,167999709550605
Wunsiedel i. Fichtelgebirge;1,4160133684456397;-2,0525138467045707;11,225310042587624;-11,217576810389994
Ansbach, Kreisfreie Stadt;1,5007100223779937;-1,7798101060937315;9,225630167484272;-9,217151913152636
Erlangen, Kreisfreie Stadt;4,409718874307233;-4,982454578691621;28,041762723451306;-28,017708047281985
Fürth, Kreisfreie Stadt;2,6633971495127553;-3,2858747686609346;17,362970095659087;-17,346869695816793
Nürnberg, Kreisfreie Stadt;19,718923166263558;-23,223489661626452;133,08150174697346;-132,9595927967695
Schwabach, Kreisfreie Stadt;0,9664072294400716;-1,0286314731897235;5,379068205480172;-5,372196906134808
Ansbach, Landkreis;2,751892061246637;-4,551124683472996;25,516419065563436;-25,503155558104762
Erlangen-Höchstadt;2,0685390290202212;-2,763497771550949;15,197040891092913;-15,184571099807924
Fürth, Landkreis;1,1726481800848496;-1,5567169369801135;8,03240183153377;-8,024451413709492
Nürnberger Land;2,2662576526485503;-3,0255730170228623;16,211416316568076;-16,197886654948647
Neustadt a. d. Aisch-Bad Windsheim;1,6790382558821761;-2,4263273348741468;13,103127298802907;-13,093900695487678
Roth;1,5607907795710783;-2,049548409850485;10,96539510055412;-10,955541253669006
Weißenburg-Gunzenhausen;1,5481619817087373;-2,317071712901987;12,745032034809963;-12,737056238436388
Aschaffenburg, Kreisfreie Stadt;2,472734366581799;-2,9558474129322976;15,452418283242471;-15,4368613050632
Schweinfurt, Kreisfreie Stadt;2,1695240348141946;-2,6003793721196757;13,680602403273463;-13,667085851096058
Würzburg, Kreisfreie Stadt;5,967450809682833;-7,436586828883258;41,395046086969195;-41,36195351141349
Aschaffenburg, Landkreis;2,840467166830148;-4,2418922291104515;23,155852237164243;-23,139208125965883
Bad Kissingen;2,5159265888640916;-4,292103093880632;24,37576564488005;-24,36717011932719
Rhön-Grabfeld;1,8334853482679232;-2,741562986093955;15,204886609666849;-15,196776803398942
